original_program,model,prompt,LoC,CpL,NDF,LpF,compilation_interactions,test_interactions,similarity,total_hallucinations,hallucinations_cat1,hallucinations_cat2,hallucinations_cat3,hallucinations_cat4,hallucinations_cat5,MCC,result
1,Claude,2,298,0.09,3,49.33,4,0,0.196,0,0,0,0,0,0,6,1
1,Claude,7,255,0.09,3,45.33,1,0,0.240,1,0,0,0,1,0,6,1
1,Claude,9,317,0.11,3,50,1,0,0.195,0,0,0,0,0,0,6,1
1,GPT,2,168,0.05,3,21.66,3,11,0.336,0,0,0,0,0,0,5,1
1,GPT,7,256,0.13,3,39.66,5,4,0.189,0,0,0,0,0,0,5,1
1,GPT,9,264,0.02,3,50.33,3,1,0.241,1,0,0,0,1,0,12,1
1,Copilot,2,230,0.06,3,32.33,3,1,0.184,1,0,0,0,0,1,7,1
1,Copilot,7,290,0.08,3,54,3,6,0.094,0,0,0,0,0,0,7,1
1,Copilot,9,251,0.12,3,37.66,6,2,0.163,0,0,0,0,0,0,5,1
1,DeepSeek,2,163,0.05,3,23.33,2,1,0.282,0,0,0,0,0,0,5,1
1,DeepSeek,7,186,0.06,3,31.33,3,4,0.299,0,0,0,0,0,0,6,1
1,DeepSeek,9,151,0.01,3,21,3,1,0.353,0,0,0,0,0,0,6,1
2,Claude,2,168,0.09,2,42,2,0,0.264,0,0,0,0,0,0,10,1
2,Claude,7,160,0.11,2,40,2,0,0.263,0,0,0,0,0,0,6,1
2,Claude,9,162,0.17,2,33.5,2,0,0.211,0,0,0,0,0,0,7,1
2,GPT,2,155,0.04,2,43,5,-1,0.291,2,0,0,0,1,1,4,0
2,GPT,7,175,0.08,2,48.5,5,1,0.221,0,0,0,0,0,0,10,1
2,GPT,9,123,0.10,2,25.5,5,1,0.300,0,0,0,0,0,0,7,1
2,Copilot,2,199,0.09,2,55,3,5,0.180,1,0,0,0,0,1,12,1
2,Copilot,7,196,0.12,2,53.5,4,7,0.163,0,0,0,0,0,0,13,1
2,Copilot,9,179,0.09,2,49.5,6,7,0.193,0,0,0,0,0,0,11,1
2,DeepSeek,2,194,0.10,2,51.5,3,1,0.212,0,0,0,0,0,0,10,1
2,DeepSeek,7,174,0.09,2,50,4,5,0.236,0,0,0,0,0,0,13,1
2,DeepSeek,9,204,0.06,2,54.5,4,9,0.228,0,0,0,0,0,0,11,1
3,Claude,2,230,0.06,2,55.5,3,1,0.252,0,0,0,0,0,0,6,1
3,Claude,7,228,0.07,2,55.5,2,4,0.286,0,0,0,0,0,0,5,1
3,Claude,9,234,0.07,2,58.5,4,3,0.283,0,0,0,0,0,0,6,1
3,GPT,2,192,0.05,2,42,5,-1,0.295,1,0,1,0,0,0,4,0
3,GPT,7,231,0.01,2,58,11,0,0.250,0,0,0,0,0,0,9,1
3,GPT,9,246,0.15,2,61,5,0,0.202,0,0,0,0,0,0,8,1
3,Copilot,2,222,0.10,2,48,4,5,0.191,0,0,0,0,0,0,8,1
3,Copilot,7,218,0.06,2,52,4,0,0.242,0,0,0,0,0,0,7,1
3,Copilot,9,233,0.11,2,55,4,2,0.205,0,0,0,0,0,0,7,1
3,DeepSeek,2,209,0.05,2,39.5,2,-1,0.326,2,1,1,0,0,0,5,0
3,DeepSeek,7,285,0.07,2,70.5,5,-1,0.216,2,0,1,0,0,1,7,0
3,DeepSeek,9,251,0.09,2,60.5,4,-1,0.245,1,0,1,0,0,0,5,0
4,Claude,2,256,0.15,3,32.33,1,5,0.194,0,0,0,0,0,0,4,1
4,Claude,7,227,0.17,3,32.66,1,5,0.239,0,0,0,0,0,0,4,1
4,Claude,9,184,0.13,3,25.66,2,8,0.267,0,0,0,0,0,0,4,1
4,GPT,2,143,0.10,3,17,3,-1,0.311,1,1,0,0,0,0,4,0
4,GPT,7,245,0.03,3,34.33,3,-1,0.187,1,1,0,0,0,0,7,0
4,GPT,9,171,0.07,3,26.66,1,3,0.298,1,0,0,0,0,1,5,1
4,Copilot,2,169,0.08,3,24,5,-1,0.229,1,0,1,0,0,0,3,0
4,Copilot,7,232,0.07,6,36,5,-1,0.102,1,0,0,0,0,1,5,0
4,Copilot,9,174,0.02,3,26,3,-1,0.258,2,0,1,0,0,1,4,0
4,DeepSeek,2,240,0.06,3,34,3,6,0.246,1,0,0,0,0,1,4,1
4,DeepSeek,7,195,0.09,3,30,2,6,0.337,0,0,0,0,0,0,4,1
4,DeepSeek,9,221,0.10,3,35.33,3,8,0.259,1,0,0,0,0,1,4,1
5,Claude,2,280,0.10,4,37.5,5,3,0.242,0,0,0,0,0,0,4,1
5,Claude,7,288,0.12,4,37,4,1,0.228,0,0,0,0,0,0,6,1
5,Claude,9,235,0.09,4,28.5,6,1,0.293,0,0,0,0,0,0,6,1
5,GPT,2,385,0.13,4,51,4,-1,0.110,2,1,0,0,0,1,8,-1
5,GPT,7,192,0.03,4,18,3,-1,0.341,1,0,1,0,0,0,5,0
5,GPT,9,217,0,4,24,6,-1,0.280,2,1,1,0,0,0,3,0
5,Copilot,2,319,0.13,4,44.25,4,-1,0.154,1,0,1,0,0,0,2,0
5,Copilot,7,235,0.04,4,20.75,5,9,0.242,0,0,0,0,0,0,5,1
5,Copilot,9,207,0.09,4,17.75,5,6,0.229,0,0,0,0,0,0,3,1
5,DeepSeek,2,185,0.03,4,20.25,1,4,0.365,1,0,0,0,1,0,6,1
5,DeepSeek,7,186,0.05,4,18.5,3,4,0.342,1,0,0,0,1,0,3,1
5,DeepSeek,9,187,0.01,4,19,3,1,0.341,1,0,0,0,1,0,6,1
6,Claude,2,210,0.06,3,35,1,0,0.351,1,0,0,0,1,0,6,1
6,Claude,7,266,0.12,3,51.66,1,0,0.274,0,0,0,0,0,0,8,1
6,Claude,9,175,0.08,3,30.66,1,2,0.437,1,0,0,0,1,0,7,1
6,GPT,2,198,0.03,3,35.33,2,-1,0.180,2,1,0,0,0,1,5,0
6,GPT,7,236,0.07,3,41.33,6,-1,0.269,2,1,0,0,0,1,10,0
6,GPT,9,242,0.14,3,45.66,3,0,0.179,1,0,0,0,0,1,6,1
6,Copilot,2,200,0.12,3,32.33,2,11,0.286,1,0,0,0,1,0,7,1
6,Copilot,7,246,0.09,3,45,4,11,0.211,0,0,0,0,0,0,5,1
6,Copilot,9,222,0.09,3,36.33,5,3,0.289,1,0,0,0,0,1,7,1
6,DeepSeek,2,198,0.07,3,38,2,1,0.317,1,0,0,0,1,0,8,1
6,DeepSeek,7,167,0.08,3,28,3,2,0.355,1,0,0,0,1,0,8,1
6,DeepSeek,9,201,0.08,3,38,1,11,0.314,1,0,0,0,1,0,9,1
7,Claude,2,320,0.07,4,41,2,1,0.309,0,0,0,0,0,0,7,1
7,Claude,7,301,0.09,4,36.5,1,2,0.289,0,0,0,0,0,0,6,1
7,Claude,9,296,0.05,4,37.5,1,0,0.360,0,0,0,0,0,0,9,1
7,GPT,2,279,0.10,4,27,1,-1,0.219,2,0,1,0,0,1,9,0
7,GPT,7,239,0.01,4,26,2,1,0.297,0,0,0,0,0,0,4,1
7,GPT,9,287,0.14,4,31.25,2,0,0.176,0,0,0,0,0,0,7,1
7,Copilot,2,237,0.03,4,24,2,1,0.342,0,0,0,0,0,0,5,1
7,Copilot,7,232,0.07,4,26,2,1,0.324,1,0,0,0,0,1,3,1
7,Copilot,9,254,0.05,4,29.75,2,0,0.341,1,0,0,0,1,0,6,1
7,DeepSeek,2,237,0.02,4,28,1,9,0.306,0,0,0,0,0,0,4,1
7,DeepSeek,7,298,0.09,4,38.25,2,0,0.256,0,0,0,0,0,0,6,1
7,DeepSeek,9,292,0.08,4,38.25,3,3,0.245,0,0,0,0,0,0,11,1
8,Claude,2,262,0.11,4,30.3,4,1,0.266,2,0,0,1,1,0,4,1
8,Claude,7,239,0.10,4,29,2,1,0.349,1,0,0,0,0,1,4,1
8,Claude,9,251,0.14,4,29.25,1,0,0.321,1,0,0,0,1,0,4,1
8,GPT,2,286,0.2,4,28,5,6,0.165,1,0,0,0,1,0,5,1
8,GPT,7,255,0.16,4,24.75,3,4,0.174,1,0,0,0,0,1,4,1
8,GPT,9,232,0,4,31,3,0,0.265,0,0,0,0,0,0,7,1
8,Copilot,2,331,0.11,4,42,4,6,0.148,1,0,1,0,0,0,4,1
8,Copilot,7,262,0.02,4,29,6,4,0.256,2,0,0,0,1,1,9,1
8,Copilot,9,317,0.09,4,38.5,4,-1,0.161,2,0,1,0,0,1,4,0
8,DeepSeek,2,235,0.04,4,26,3,4,0.296,1,0,0,1,0,0,6,1
8,DeepSeek,7,215,0.01,4,22.5,6,6,0.377,0,0,0,0,0,0,6,1
8,DeepSeek,9,250,0.09,4,29.75,3,0,0.296,0,0,0,0,0,0,7,1
9,Claude,2,259,0.10,3,48,4,8,0.218,0,0,0,0,0,0,13,1
9,Claude,7,224,0.11,2,46,4,6,0.250,0,0,0,0,0,0,12,1
9,Claude,9,289,0.09,2,59.66,2,2,0.131,0,0,0,0,0,0,15,1
9,GPT,2,155,0.10,2,46,5,-1,0.205,2,1,0,0,0,1,6,-1
9,GPT,7,239,0.19,2,59,5,0,0.129,0,0,0,0,0,0,17,1
9,GPT,9,127,0.04,2,34,6,-1,0.236,2,0,1,0,1,0,12,-1
9,Copilot,2,238,0.12,2,66,2,-1,0.118,2,1,0,0,0,1,9,0
9,Copilot,7,204,0.11,3,36.33,6,-1,0.143,2,0,1,0,0,1,8,0
9,Copilot,9,289,0.09,3,59.66,4,11,0.131,0,0,0,0,0,0,26,1
9,DeepSeek,2,233,0.1,3,47.66,1,-1,0.195,1,0,1,0,0,0,16,0
9,DeepSeek,7,196,0.06,3,40.66,4,2,0.272,1,0,0,0,1,0,10,1
9,DeepSeek,9,229,0.10,2,49,4,3,0.203,0,0,0,0,0,0,14,1
10,Claude,2,260,0.13,14,8.5,1,1,0.167,1,0,0,0,0,1,6,1
10,Claude,7,115,0.11,3,7,1,1,0.467,0,0,0,0,0,0,1,1
10,Claude,9,169,0.11,3,25.66,1,2,0.262,0,0,0,0,0,0,6,1
10,GPT,2,139,0.14,3,9,1,1,0.348,0,0,0,0,0,0,1,1
10,GPT,7,89,0.06,3,4.66,5,-1,0.444,1,0,0,0,0,1,1,0
10,GPT,9,154,0.25,5,4.4,1,1,0.222,0,0,0,0,0,0,1,1
10,Copilot,2,266,0.11,7,23.71,3,-1,0.168,1,0,1,0,0,0,10,0
10,Copilot,7,278,0.09,5,35.2,5,-1,0.103,2,0,1,0,0,1,9,0
10,Copilot,9,251,0.14,4,38.25,3,-1,0.163,1,0,0,0,0,1,9,0
10,DeepSeek,2,187,0.1,5,18.4,2,4,0.230,1,0,0,0,0,1,6,1
10,DeepSeek,7,160,0.04,3,27.33,3,8,0.335,0,0,0,0,0,0,6,1
10,DeepSeek,9,176,0.02,3,32.66,3,10,0.232,0,0,0,0,0,0,6,1
11,Claude,2,281,0.1,4,32,1,4,0.293,0,0,0,0,0,0,4,1
11,Claude,7,266,0.08,4,32.75,5,2,0.344,1,0,0,0,1,0,3,1
11,Claude,9,239,0.04,4,25,2,1,0.400,0,0,0,0,0,0,3,1
11,GPT,2,251,0.02,4,32.5,1,11,0.383,2,0,0,0,1,1,2,1
11,GPT,7,235,0.04,4,22,2,5,0.343,1,0,0,0,1,0,3,1
11,GPT,9,273,0.12,4,24.75,3,5,0.402,0,0,0,0,0,0,3,1
11,Copilot,2,239,0.08,4,36.5,4,-1,0.194,2,0,1,0,1,0,2,0
11,Copilot,7,299,0.07,4,34.5,3,7,0.288,1,0,0,0,0,1,2,1
11,Copilot,9,301,0.04,5,24.6,4,8,0.237,1,0,0,0,0,1,2,1
11,DeepSeek,2,286,0.05,4,38,1,8,0.314,1,0,0,0,1,0,5,1
11,DeepSeek,7,327,0.07,4,43,4,2,0.229,1,0,0,0,1,0,2,1
11,DeepSeek,9,312,0.12,4,40.75,2,7,0.222,1,0,0,0,1,0,2,1
12,Claude,2,331,0.07,4,39,1,5,0.232,1,0,0,0,0,1,6,1
12,Claude,7,269,0.1,4,35.25,5,4,0.268,2,0,0,0,1,1,7,1
12,Claude,9,251,0.09,4,30.25,2,3,0.312,1,0,0,0,0,1,5,1
12,GPT,2,252,0.1,4,29.5,8,5,0.258,1,0,0,0,0,1,6,1
12,GPT,7,301,0.16,4,32,2,0,0.156,1,0,0,0,0,1,6,1
12,GPT,9,280,0.23,4,30.5,2,1,0.152,1,0,0,0,0,1,9,1
12,Copilot,2,222,0,4,23.5,-1,0,0.329,1,0,0,0,0,1,9,-1
12,Copilot,7,251,0.12,4,30,6,0,0.205,1,0,0,0,0,1,5,1
12,Copilot,9,237,0.05,4,27.75,4,1,0.251,1,0,0,0,0,1,6,1
12,DeepSeek,2,242,0.08,4,30.5,4,-1,0.240,1,1,0,0,0,0,5,0
12,DeepSeek,7,253,0.02,4,23.25,9,5,0.329,0,0,0,0,0,0,8,1
12,DeepSeek,9,274,0.13,4,30,6,1,0.220,1,0,0,0,0,1,7,1
13,Claude,2,248,0.1,5,32.5,2,2,0.213,1,0,0,0,1,0,11,1
13,Claude,7,284,0.11,3,61,2,-1,0.178,1,0,1,0,0,0,11,0
13,Claude,9,208,0.08,2,63,2,1,0.267,1,0,0,0,1,0,14,1
13,GPT,2,213,0.08,3,38.33,4,3,0.245,2,0,0,0,1,1,10,1
13,GPT,7,256,0.17,2,73.5,4,0,0.118,1,0,0,0,0,1,14,1
13,GPT,9,92,0.04,2,16,4,-1,0.113,1,0,1,0,0,0,4,-1
13,Copilot,2,262,0.1,3,56,4,2,0.151,1,0,0,0,1,0,14,1
13,Copilot,7,281,0.06,3,60.66,4,-1,0.171,2,1,0,0,0,1,8,0
13,Copilot,9,239,0.1,2,76,6,0,0.169,0,0,0,0,0,0,21,1
13,DeepSeek,2,208,0.1,2,60,3,1,0.216,0,0,0,0,0,0,12,1
13,DeepSeek,7,262,0.11,2,77.5,1,6,0.178,0,0,0,0,0,0,17,1
13,DeepSeek,9,298,0.1,5,33.2,2,8,0.157,0,0,0,0,0,0,15,1
14,Claude,2,344,0.07,5,38.8,1,2,0.293,1,0,0,0,0,1,8,1
14,Claude,7,330,0.08,5,36.5,2,0,0.313,1,0,0,0,0,1,8,1
14,Claude,9,339,0.08,5,35.4,2,0,0.317,0,0,0,0,0,0,7,1
14,GPT,2,226,0.04,5,22,4,1,0.351,1,0,0,0,0,1,4,1
14,GPT,7,154,0.06,5,15,9,-1,0.137,2,0,1,0,0,1,7,-1
14,GPT,9,198,0.03,4,27,4,-1,0.173,1,1,0,0,0,0,4,0
14,Copilot,2,332,0.04,6,30.16,3,1,0.222,0,0,0,0,0,0,9,1
14,Copilot,7,359,0.03,5,36.2,5,2,0.270,1,0,0,0,0,1,8,1
14,Copilot,9,371,0.14,6,32.33,3,1,0.173,2,0,1,0,0,1,5,1
14,DeepSeek,2,392,0.09,7,30.28,4,5,0.265,0,0,0,0,0,0,8,1
14,DeepSeek,7,355,0.09,9,21.55,2,1,0.315,1,0,0,0,0,1,5,1
14,DeepSeek,9,355,0.09,5,36.6,4,10,0.280,1,0,0,0,0,1,7,1
15,Claude,2,553,0.08,4,87.75,1,-1,0.269,2,1,1,0,0,0,16,0
15,Claude,7,562,0.06,6,56.66,2,-1,300,3,1,1,0,1,0,15,0
15,Claude,9,499,0.06,4,75,1,-1,0.322,1,1,0,0,0,0,18,0
15,GPT,2,400,0.07,6,42.16,4,-1,0.254,2,1,0,0,0,1,10,-1
15,GPT,7,292,0.05,6,32.66,6,-1,0.087,3,1,1,0,0,1,7,-1
15,GPT,9,572,0.13,9,37.55,3,-1,0.181,3,1,1,0,1,0,19,0
15,Copilot,2,471,0.09,6,50.6,4,-1,0.201,2,1,1,0,0,0,21,0
15,Copilot,7,524,0.11,6,59,3,-1,0.185,3,1,1,0,1,0,30,0
15,Copilot,9,555,0.09,6,61,5,-1,0.200,2,1,1,0,0,0,29,0
15,DeepSeek,2,527,0.04,5,62,2,-1,0.310,2,1,1,0,0,0,17,0
15,DeepSeek,7,544,0.05,5,63.8,3,-1,0.314,3,1,1,0,0,1,17,0
15,DeepSeek,9,592,0.02,6,62.5,3,-1,0.294,3,1,1,0,0,1,19,0